學年度,設立別,學程別,群科別,畢業生人數,未升學就業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數
102,國立,實用技能學程,動力機械群,194,28,0,19,9,0,0,0
102,國立,實用技能學程,商業與管理群,799,44,7,23,8,1,5,0
102,國立,實用技能學程,土木與建築群,169,11,0,8,3,0,0,0
102,國立,實用技能學程,機械群,483,31,2,21,3,2,2,1
102,國立,實用技能學程,水產群,35,2,0,2,0,0,0,0
102,國立,實用技能學程,海事群,62,15,0,15,0,0,0,0
102,國立,實用技能學程,美容造型群,186,11,1,2,8,0,0,0
102,國立,實用技能學程,設計群,183,18,2,10,4,2,0,0
102,國立,實用技能學程,農業群,181,18,0,12,3,2,1,0
102,國立,實用技能學程,電機與電子群,843,103,7,74,18,4,0,0
102,國立,實用技能學程,食品群,285,27,1,19,7,0,0,0
102,國立,實用技能學程,餐旅群,454,24,1,5,14,3,1,0
102,國立,專業群科,動力機械群,1909,121,4,76,5,32,3,1
102,國立,專業群科,化工群,1438,31,1,14,3,12,0,1
102,國立,專業群科,商業與管理群,10556,167,3,62,17,78,2,5
102,國立,專業群科,土木與建築群,1715,58,2,31,2,19,1,3
102,國立,專業群科,外語群,1141,14,0,2,0,4,2,6
102,國立,專業群科,家政群,1556,26,1,4,11,8,2,0
102,國立,專業群科,機械群,6354,212,17,106,21,62,5,1
102,國立,專業群科,水產群,305,10,0,5,4,0,1,0
102,國立,專業群科,海事群,269,24,4,17,2,1,0,0
102,國立,專業群科,綜合,1144,253,34,3,175,2,39,0
102,國立,專業群科,藝術群,151,9,0,6,0,2,0,1
102,國立,專業群科,設計群,2368,57,2,13,3,37,0,2
102,國立,專業群科,農業群,1915,68,1,34,22,9,1,1
102,國立,專業群科,電機與電子群,8196,310,17,162,25,101,3,2
102,國立,專業群科,食品群,1376,47,5,12,16,9,3,2
102,國立,專業群科,餐旅群,1216,14,0,7,1,4,2,0
102,國立,普通科,學術群,75020,1763,12,204,25,1476,7,39
102,國立,綜合高中,動力機械群,31,6,0,6,0,0,0,0
102,國立,綜合高中,化工群,153,6,0,0,0,6,0,0
102,國立,綜合高中,商業與管理群,2216,64,2,35,10,14,2,1
102,國立,綜合高中,土木與建築群,325,4,0,1,2,1,0,0
102,國立,綜合高中,外語群,330,2,0,0,1,1,0,0
102,國立,綜合高中,學術群,8702,188,1,21,4,153,1,8
102,國立,綜合高中,家政群,128,1,0,0,0,0,0,1
102,國立,綜合高中,機械群,276,11,0,4,1,5,1,0
102,國立,綜合高中,水產群,28,0,0,0,0,0,0,0
102,國立,綜合高中,海事群,19,0,0,0,0,0,0,0
102,國立,綜合高中,綜合,11,1,0,0,0,1,0,0
102,國立,綜合高中,藝術群,9,1,0,1,0,0,0,0
102,國立,綜合高中,設計群,537,14,2,5,0,6,0,1
102,國立,綜合高中,農業群,114,4,0,3,0,1,0,0
102,國立,綜合高中,電機與電子群,659,15,2,8,0,4,0,1
102,國立,綜合高中,食品群,279,4,0,0,4,0,0,0
102,國立,綜合高中,餐旅群,668,30,0,22,5,2,1,0
102,私立,實用技能學程,動力機械群,1140,195,1,134,45,12,3,0
102,私立,實用技能學程,商業與管理群,1357,149,1,83,52,5,7,1
102,私立,實用技能學程,土木與建築群,17,0,0,0,0,0,0,0
102,私立,實用技能學程,機械群,79,18,0,18,0,0,0,0
102,私立,實用技能學程,美容造型群,1517,154,21,22,92,11,8,0
102,私立,實用技能學程,設計群,96,11,0,2,9,0,0,0
102,私立,實用技能學程,電機與電子群,643,77,0,42,32,0,3,0
102,私立,實用技能學程,食品群,140,30,1,1,27,0,0,1
102,私立,實用技能學程,餐旅群,3719,432,10,188,209,13,10,2
102,私立,專業群科,動力機械群,3972,446,13,309,106,10,6,2
102,私立,專業群科,商業與管理群,13321,504,26,230,183,43,18,4
102,私立,專業群科,土木與建築群,212,18,0,9,4,5,0,0
102,私立,專業群科,外語群,5197,80,2,25,18,23,2,10
102,私立,專業群科,家政群,6950,371,37,43,237,24,26,4
102,私立,專業群科,機械群,1739,178,7,124,44,2,1,0
102,私立,專業群科,海事群,50,11,0,9,0,2,0,0
102,私立,專業群科,綜合,418,138,30,0,54,5,49,0
102,私立,專業群科,藝術群,2382,118,3,41,15,46,2,11
102,私立,專業群科,設計群,6484,221,22,54,34,93,7,11
102,私立,專業群科,電機與電子群,12542,898,48,572,217,48,8,5
102,私立,專業群科,餐旅群,18903,1436,102,712,499,64,37,22
102,私立,普通科,學術群,28518,774,19,111,18,596,9,21
102,私立,綜合高中,動力機械群,97,16,0,8,4,4,0,0
102,私立,綜合高中,化工群,170,0,0,0,0,0,0,0
102,私立,綜合高中,商業與管理群,2623,66,4,25,23,11,1,2
102,私立,綜合高中,外語群,1243,14,1,3,2,6,0,2
102,私立,綜合高中,學術群,2151,62,6,25,6,25,0,0
102,私立,綜合高中,家政群,609,23,1,4,14,3,1,0
102,私立,綜合高中,機械群,71,3,0,1,2,0,0,0
102,私立,綜合高中,綜合,278,15,2,9,3,1,0,0
102,私立,綜合高中,藝術群,18,1,0,1,0,0,0,0
102,私立,綜合高中,設計群,794,21,1,9,4,7,0,0
102,私立,綜合高中,電機與電子群,1311,40,1,26,2,7,4,0
102,私立,綜合高中,餐旅群,1570,65,7,32,21,3,2,0
103,國立,實用技能學程,動力機械群,214,16,0,10,6,0,0,0
103,國立,實用技能學程,商業與管理群,799,76,7,36,24,5,4,0
103,國立,實用技能學程,土木與建築群,138,5,0,5,0,0,0,0
103,國立,實用技能學程,機械群,623,48,3,32,7,6,0,0
103,國立,實用技能學程,水產群,22,1,0,1,0,0,0,0
103,國立,實用技能學程,海事群,60,17,0,17,0,0,0,0
103,國立,實用技能學程,美容造型群,192,26,0,1,6,19,0,0
103,國立,實用技能學程,設計群,200,11,0,6,4,0,0,1
103,國立,實用技能學程,農業群,141,7,0,3,4,0,0,0
103,國立,實用技能學程,電機與電子群,652,72,4,55,10,2,1,0
103,國立,實用技能學程,食品群,266,25,0,18,6,1,0,0
103,國立,實用技能學程,餐旅群,510,30,0,9,17,1,3,0
103,國立,專業群科,動力機械群,1899,138,8,95,15,17,1,2
103,國立,專業群科,化工群,1449,36,4,21,2,9,0,0
103,國立,專業群科,商業與管理群,10726,223,6,88,44,75,7,3
103,國立,專業群科,土木與建築群,1691,61,3,30,4,24,0,0
103,國立,專業群科,外語群,1268,14,1,5,3,5,0,0
103,國立,專業群科,家政群,1580,36,5,8,14,9,0,0
103,國立,專業群科,機械群,6233,227,15,132,13,64,2,1
103,國立,專業群科,水產群,298,39,0,23,9,6,1,0
103,國立,專業群科,海事群,277,60,5,45,7,3,0,0
103,國立,專業群科,綜合,1149,221,49,4,150,4,14,0
103,國立,專業群科,藝術群,201,17,0,6,0,11,0,0
103,國立,專業群科,設計群,2417,39,0,8,7,21,1,2
103,國立,專業群科,農業群,1924,73,4,35,20,9,3,2
103,國立,專業群科,電機與電子群,8107,311,16,159,27,100,7,2
103,國立,專業群科,食品群,1493,46,5,29,9,3,0,0
103,國立,專業群科,餐旅群,1274,38,4,12,10,9,2,1
103,國立,普通科,學術群,76662,1942,23,313,47,1509,16,34
103,國立,綜合高中,動力機械群,33,0,0,0,0,0,0,0
103,國立,綜合高中,化工群,98,1,0,0,0,1,0,0
103,國立,綜合高中,商業與管理群,1976,65,0,42,6,16,1,0
103,國立,綜合高中,土木與建築群,301,12,0,3,0,8,1,0
103,國立,綜合高中,外語群,328,6,0,1,0,5,0,0
103,國立,綜合高中,學術群,7917,203,0,43,8,147,1,4
103,國立,綜合高中,家政群,181,11,4,1,0,5,1,0
103,國立,綜合高中,機械群,338,8,0,6,0,2,0,0
103,國立,綜合高中,水產群,42,5,0,4,0,1,0,0
103,國立,綜合高中,海事群,16,4,0,4,0,0,0,0
103,國立,綜合高中,綜合,6,0,0,0,0,0,0,0
103,國立,綜合高中,藝術群,14,0,0,0,0,0,0,0
103,國立,綜合高中,設計群,583,32,0,10,4,18,0,0
103,國立,綜合高中,農業群,105,4,0,0,2,2,0,0
103,國立,綜合高中,電機與電子群,678,24,6,11,4,3,0,0
103,國立,綜合高中,食品群,189,3,0,2,0,1,0,0
103,國立,綜合高中,餐旅群,685,35,0,15,14,5,0,1
103,國立,進修部,動力機械群,222,35,0,22,10,2,1,0
103,國立,進修部,化工群,115,10,0,5,2,3,0,0
103,國立,進修部,商業與管理群,2261,162,5,81,58,11,6,1
103,國立,進修部,土木與建築群,137,19,0,12,5,2,0,0
103,國立,進修部,外語群,19,9,0,0,8,1,0,0
103,國立,進修部,學術群,551,42,4,18,5,8,0,7
103,國立,進修部,家政群,275,14,0,1,13,0,0,0
103,國立,進修部,機械群,927,120,1,75,32,10,1,1
103,國立,進修部,設計群,305,20,0,5,12,2,1,0
103,國立,進修部,農業群,57,1,0,0,1,0,0,0
103,國立,進修部,電機與電子群,1048,110,6,65,32,4,2,1
103,國立,進修部,食品群,292,29,0,17,8,0,4,0
103,國立,進修部,餐旅群,261,7,0,4,0,3,0,0
103,私立,實用技能學程,動力機械群,1141,183,10,121,42,3,7,0
103,私立,實用技能學程,商業與管理群,1133,114,0,49,50,8,7,0
103,私立,實用技能學程,機械群,53,7,1,4,2,0,0,0
103,私立,實用技能學程,美容造型群,1460,101,9,6,75,4,7,0
103,私立,實用技能學程,設計群,56,4,0,0,4,0,0,0
103,私立,實用技能學程,電機與電子群,567,51,6,22,18,3,2,0
103,私立,實用技能學程,食品群,286,18,2,6,5,4,1,0
103,私立,實用技能學程,餐旅群,3791,427,27,166,212,12,7,3
103,私立,專業群科,動力機械群,4167,562,26,374,132,18,10,2
103,私立,專業群科,商業與管理群,11879,526,26,272,142,61,17,8
103,私立,專業群科,土木與建築群,183,14,2,3,1,7,1,0
103,私立,專業群科,外語群,5183,126,8,28,31,36,2,21
103,私立,專業群科,家政群,6631,361,37,49,205,37,26,7
103,私立,專業群科,機械群,1757,142,6,78,40,16,0,2
103,私立,專業群科,海事群,47,11,0,11,0,0,0,0
103,私立,專業群科,綜合,408,121,18,0,84,0,19,0
103,私立,專業群科,藝術群,2510,207,5,59,42,81,9,11
103,私立,專業群科,設計群,6564,322,17,89,71,110,10,25
103,私立,專業群科,電機與電子群,10759,784,29,507,185,42,14,7
