學年度,設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
102,國立,普通科,學術群,34267,4,98,9,750,3,4,31
102,國立,專業群科,機械群,4502,15,100,21,40,5,1,11
102,國立,專業群科,動力機械群,1239,4,66,4,22,3,1,3
102,國立,專業群科,電機與電子群,5195,16,143,25,54,3,1,17
102,國立,專業群科,化工群,1268,1,12,3,12,0,1,1
102,國立,專業群科,土木與建築群,1267,2,29,2,16,1,1,4
102,國立,專業群科,商業與管理群,7990,2,55,15,54,2,1,15
102,國立,專業群科,外語群,887,0,1,0,3,0,1,0
102,國立,專業群科,設計群,1193,1,10,3,17,0,1,5
102,國立,專業群科,農業群,1803,1,34,22,7,1,1,10
102,國立,專業群科,食品群,1297,5,12,16,6,3,2,5
102,國立,專業群科,家政群,1414,0,4,11,4,2,0,5
102,國立,專業群科,餐旅群,978,0,7,1,2,2,0,3
102,國立,專業群科,水產群,305,0,5,4,0,1,0,1
102,國立,專業群科,海事群,269,4,17,2,1,0,0,4
102,國立,專業群科,藝術群,151,0,6,0,2,0,1,3
102,國立,專業群科,綜合,879,25,3,141,2,25,0,33
102,國立,綜合高中,學術群,6293,1,17,4,110,1,4,11
102,國立,綜合高中,機械群,251,0,4,1,2,1,0,5
102,國立,綜合高中,動力機械群,31,0,6,0,0,0,0,0
102,國立,綜合高中,電機與電子群,396,2,8,0,0,0,1,2
102,國立,綜合高中,化工群,71,0,0,0,1,0,0,0
102,國立,綜合高中,土木與建築群,215,0,1,2,1,0,0,1
102,國立,綜合高中,商業與管理群,1672,2,30,10,7,0,1,7
102,國立,綜合高中,外語群,294,0,0,1,1,0,0,1
102,國立,綜合高中,設計群,390,2,4,0,2,0,0,6
102,國立,綜合高中,農業群,95,0,3,0,1,0,0,0
102,國立,綜合高中,食品群,279,0,0,4,0,0,0,0
102,國立,綜合高中,家政群,108,0,0,0,0,0,1,0
102,國立,綜合高中,餐旅群,566,0,20,4,2,1,0,4
102,國立,綜合高中,水產群,28,0,0,0,0,0,0,2
102,國立,綜合高中,海事群,19,0,0,0,0,0,0,2
102,國立,綜合高中,藝術群,9,0,1,0,0,0,0,0
102,國立,綜合高中,綜合,11,0,0,0,1,0,0,0
102,國立,實用技能學程,機械群,437,2,18,2,2,2,1,10
102,國立,實用技能學程,動力機械群,167,0,17,9,0,0,0,2
