學年度,學程別,設立別,性別,畢業生人數,未升學就業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數
102,實用技能學程,國立,女,1641,57,10,0,36,6,4,1
102,實用技能學程,國立,男,2233,275,11,210,41,8,5,0
102,實用技能學程,私立,女,3996,321,23,0,259,21,16,2
102,實用技能學程,私立,男,4712,745,11,490,207,20,15,2
102,專業群科,國立,女,17165,337,30,0,147,117,27,16
102,專業群科,國立,男,24444,1084,61,554,160,263,37,9
102,專業群科,私立,女,34965,1135,115,0,685,207,85,43
102,專業群科,私立,男,37205,3284,175,2128,726,158,71,26
102,普通科,國立,女,37603,546,4,0,10,502,3,27
102,普通科,國立,男,37417,1217,8,204,15,974,4,12
102,普通科,私立,女,14270,256,6,0,3,230,5,12
102,普通科,私立,男,14248,518,13,111,15,366,4,9
102,綜合高中,國立,女,7761,103,0,0,15,76,4,8
102,綜合高中,國立,男,6724,248,7,106,12,118,1,4
102,綜合高中,私立,女,6013,84,10,0,39,30,2,3
102,綜合高中,私立,男,4922,242,13,143,42,37,6,1
103,實用技能學程,國立,女,1593,84,7,0,46,25,6,0
103,實用技能學程,國立,男,2224,250,7,193,38,9,2,1
103,實用技能學程,私立,女,3804,232,21,0,183,15,13,0
103,實用技能學程,私立,男,4683,673,34,374,225,19,18,3
103,專業群科,國立,女,17416,327,46,0,148,113,17,3
103,專業群科,國立,男,24570,1252,79,700,186,256,21,10
103,專業群科,私立,女,34125,1186,98,0,678,266,80,64
103,專業群科,私立,男,36343,3505,141,2133,889,229,72,41
103,普通科,國立,女,38234,630,8,0,21,573,11,17
103,普通科,國立,男,38428,1312,15,313,26,936,5,17
103,普通科,私立,女,13964,248,1,0,3,232,2,10
103,普通科,私立,男,14483,495,10,116,5,349,1,14
103,綜合高中,國立,女,7112,139,3,0,23,108,3,2
103,綜合高中,國立,男,6378,274,7,142,15,106,1,3
103,綜合高中,私立,女,5581,76,6,0,27,34,4,5
103,綜合高中,私立,男,4563,273,4,195,30,34,5,5
103,進修部,國立,女,2777,101,5,0,69,15,6,6
103,進修部,國立,男,3693,477,11,305,117,31,9,4
103,進修部,私立,女,5515,415,36,0,272,48,33,26
103,進修部,私立,男,7077,1062,39,603,351,42,20,7
104,實用技能學程,國立,女,1411,69,8,0,52,7,0,2
104,實用技能學程,國立,男,1971,255,21,147,61,21,5,0
104,實用技能學程,私立,女,3377,304,35,0,220,26,19,4
104,實用技能學程,私立,男,4175,656,17,357,233,33,12,4
104,專業群科,國立,女,17211,333,30,0,135,135,26,7
104,專業群科,國立,男,24191,1514,69,859,211,329,29,17
104,專業群科,私立,女,29519,1062,128,0,589,196,82,67
104,專業群科,私立,男,32477,2942,158,1765,720,194,64,41
104,普通科,國立,女,38120,522,13,0,33,452,6,18
104,普通科,國立,男,36219,1210,24,274,22,857,8,25
104,普通科,私立,女,11733,149,1,0,2,125,4,17
104,普通科,私立,男,12552,372,1,95,8,237,5,26
104,綜合高中,國立,女,6722,109,3,0,22,75,6,3
104,綜合高中,國立,男,5592,219,5,100,25,82,1,6
104,綜合高中,私立,女,4216,58,3,0,19,24,6,6
104,綜合高中,私立,男,4057,246,9,186,20,22,5,4
104,進修部,國立,女,2535,90,2,0,57,12,13,6
104,進修部,國立,男,3652,399,8,273,97,13,7,1
104,進修部,私立,女,4486,379,35,0,241,48,34,21
104,進修部,私立,男,5956,879,39,467,304,34,18,17
105,實用技能學程,國立,女,1245,68,5,0,48,9,6,0
105,實用技能學程,國立,男,1774,234,16,162,42,7,6,1
105,實用技能學程,私立,女,3194,272,26,0,217,13,13,3
105,實用技能學程,私立,男,3662,486,42,247,165,18,13,1
105,專業群科,國立,女,15575,337,49,0,163,94,15,16
105,專業群科,國立,男,23218,1467,73,839,254,270,21,10
105,專業群科,私立,女,29058,1072,123,0,604,219,63,63
105,專業群科,私立,男,30574,2654,163,1462,710,192,75,52
105,普通科,國立,女,35508,489,42,0,15,413,4,15
105,普通科,國立,男,34296,938,39,226,24,635,3,11
105,普通科,私立,女,12157,156,5,0,5,135,1,10
105,普通科,私立,男,12308,377,4,73,12,264,5,19
105,綜合高中,國立,女,5764,80,3,0,10,59,2,6
105,綜合高中,國立,男,4743,190,7,81,11,88,0,3
105,綜合高中,私立,女,3265,53,8,0,20,18,1,6
105,綜合高中,私立,男,2752,178,7,122,15,22,6,6
105,進修部,國立,女,1957,69,2,0,41,14,10,2
105,進修部,國立,男,2960,321,15,212,69,15,7,3
105,進修部,私立,女,4247,293,23,0,216,18,27,9
105,進修部,私立,男,5385,637,12,321,254,19,24,7
106,實用技能學程,國立,女,1269,50,2,0,37,4,7,0
106,實用技能學程,國立,男,1843,163,8,92,46,11,5,1
106,實用技能學程,私立,女,3000,224,13,0,179,13,17,2
106,實用技能學程,私立,男,3894,465,19,250,170,18,8,0
106,專業群科,國立,女,15368,362,44,0,162,126,15,15
106,專業群科,國立,男,22667,1286,86,510,296,352,30,12
106,專業群科,私立,女,30259,1075,114,0,613,198,77,73
106,專業群科,私立,男,33114,2345,108,1104,740,285,54,54
106,普通科,國立,女,37365,984,6,0,37,899,10,32
106,普通科,國立,男,35524,1631,22,212,23,1351,7,16
106,普通科,私立,女,13771,420,11,0,13,345,5,46
106,普通科,私立,男,13980,653,15,80,17,490,9,42
106,綜合高中,國立,女,5433,105,9,0,20,73,1,2
106,綜合高中,國立,男,4451,190,8,64,12,102,1,3
106,綜合高中,私立,女,3276,54,2,0,21,18,4,9
106,綜合高中,私立,男,2686,158,4,89,32,26,2,5
106,進修部,國立,女,1888,76,5,0,39,17,12,3
106,進修部,國立,男,2907,285,9,186,52,30,6,2
106,進修部,私立,女,3816,266,16,0,188,36,20,6
106,進修部,私立,男,4777,653,17,372,228,24,6,6
107,實用技能學程,國立,女,1179,58,2,0,40,7,7,2
107,實用技能學程,國立,男,1738,175,11,108,40,7,8,1
107,實用技能學程,私立,女,2919,252,22,0,205,15,8,2
107,實用技能學程,私立,男,3939,573,36,285,224,13,12,3
107,專業群科,國立,女,15685,382,56,0,183,118,9,16
107,專業群科,國立,男,22918,1069,134,393,254,255,24,9
107,專業群科,私立,女,28193,905,115,0,488,158,50,94
107,專業群科,私立,男,30182,2322,148,1264,589,177,75,69
107,普通科,國立,女,37512,1391,10,0,20,1337,6,18
107,普通科,國立,男,35006,2159,10,203,32,1883,6,25
107,普通科,私立,女,12972,571,9,0,5,517,8,32
107,普通科,私立,男,13146,867,27,89,12,685,21,33
107,綜合高中,國立,女,5015,131,3,0,18,106,0,4
107,綜合高中,國立,男,3849,208,11,57,13,125,1,1
107,綜合高中,私立,女,2734,60,6,0,20,26,4,4
107,綜合高中,私立,男,2275,112,2,57,6,41,1,5
107,進修部,國立,女,1620,53,4,0,25,12,9,3
107,進修部,國立,男,2560,278,11,185,49,25,6,2
107,進修部,私立,女,3425,246,21,0,186,14,20,5
107,進修部,私立,男,4155,488,25,205,214,21,14,9
108,實用技能學程,國立,女,983,37,4,0,30,1,2,0
108,實用技能學程,國立,男,1506,123,4,66,40,12,1,0
108,實用技能學程,私立,女,2496,201,30,0,148,13,10,0
108,實用技能學程,私立,男,3384,401,23,196,159,10,11,2
108,專業群科,國立,女,14823,345,47,0,173,94,21,10
108,專業群科,國立,男,22223,807,70,300,235,176,22,4
108,專業群科,私立,女,21944,753,84,0,487,103,37,42
108,專業群科,私立,男,22544,1615,95,752,561,122,52,33
108,普通科,國立,女,36228,906,16,0,12,840,18,20
108,普通科,國立,男,34252,1480,16,198,19,1226,7,14
108,普通科,私立,女,10601,281,9,0,4,250,0,18
108,普通科,私立,男,10547,497,10,62,8,381,2,34
108,綜合高中,國立,女,4141,105,5,0,11,87,1,1
108,綜合高中,國立,男,3247,119,0,35,7,76,0,1
108,綜合高中,私立,女,1758,28,2,0,5,17,1,3
108,綜合高中,私立,男,1556,54,0,28,10,14,2,0
108,進修部,國立,女,1309,64,5,0,32,5,21,1
108,進修部,國立,男,2170,212,9,125,60,16,2,0
108,進修部,私立,女,2922,182,20,0,126,10,19,7
108,進修部,私立,男,3587,362,18,154,156,17,13,4
109,實用技能學程,國立,女,892,33,2,0,24,3,4,0
109,實用技能學程,國立,男,1382,121,5,57,47,8,3,1
109,實用技能學程,私立,女,2439,224,17,0,192,5,6,4
109,實用技能學程,私立,男,3192,350,28,105,203,6,8,0
109,專業群科,國立,女,14209,287,34,0,155,60,31,7
109,專業群科,國立,男,20942,738,80,263,237,109,45,4
109,專業群科,私立,女,19904,849,45,0,654,70,55,25
109,專業群科,私立,男,20533,1394,66,523,637,98,39,31
109,普通科,國立,女,34914,333,18,0,15,285,4,11
109,普通科,國立,男,33368,796,17,129,25,609,9,7
109,普通科,私立,女,11022,148,3,0,1,130,8,6
109,普通科,私立,男,11097,288,4,32,9,224,2,17
109,綜合高中,國立,女,3655,26,2,0,7,17,0,0
109,綜合高中,國立,男,2966,63,3,22,8,29,0,1
109,綜合高中,私立,女,1369,16,4,0,5,5,1,1
