學年度,學程別,設立別,性別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
102,普通科,國立,男,17434,2,98,8,509,2,1,26
102,普通科,國立,女,16833,2,0,1,241,1,3,5
102,普通科,國立,男,19983,6,106,7,465,2,11,55
102,普通科,國立,女,20770,2,0,9,261,2,24,37
102,普通科,私立,男,14248,13,111,15,366,4,9,20
102,普通科,私立,女,14270,6,0,3,230,5,12,20
102,專業群科,國立,男,17529,53,504,147,173,25,6,69
102,專業群科,國立,女,13108,23,0,123,69,23,6,51
102,專業群科,國立,男,6915,8,50,13,90,12,3,25
102,專業群科,國立,女,4057,7,0,24,48,4,10,8
102,專業群科,私立,男,37205,175,2128,726,158,71,26,352
102,專業群科,私立,女,34965,115,0,685,207,85,43,196
102,綜合高中,國立,男,4895,7,94,12,80,0,2,27
102,綜合高中,國立,女,5833,0,0,14,48,3,5,14
102,綜合高中,國立,男,1829,0,12,0,38,1,2,6
102,綜合高中,國立,女,1928,0,0,1,28,1,3,4
102,綜合高中,私立,男,4922,13,143,42,37,6,1,22
102,綜合高中,私立,女,6013,10,0,39,30,2,3,38
102,實用技能學程,國立,男,1992,11,194,36,8,3,0,36
102,實用技能學程,國立,女,1488,9,0,32,6,2,1,8
102,實用技能學程,國立,男,241,0,16,5,0,2,0,3
102,實用技能學程,國立,女,153,1,0,4,0,2,0,5
102,實用技能學程,私立,男,4712,11,490,207,20,15,2,98
102,實用技能學程,私立,女,3996,23,0,259,21,16,2,61
103,普通科,國立,男,17951,2,103,3,478,1,3,4
103,普通科,國立,女,17035,0,0,10,253,3,7,19
103,普通科,國立,男,20477,13,210,23,458,4,14,21
103,普通科,國立,女,21199,8,0,11,320,8,10,23
103,普通科,私立,男,14483,10,116,5,349,1,14,11
103,普通科,私立,女,13964,1,0,3,232,2,10,4
103,專業群科,國立,男,17555,74,631,168,171,17,7,97
103,專業群科,國立,女,13185,41,0,140,71,14,1,51
103,專業群科,國立,男,7015,5,69,18,85,4,3,31
103,專業群科,國立,女,4231,5,0,8,42,3,2,17
103,專業群科,私立,男,36343,141,2133,889,229,72,41,238
103,專業群科,私立,女,34125,98,0,678,266,80,64,137
103,綜合高中,國立,男,4612,7,124,14,73,1,2,14
103,綜合高中,國立,女,5358,3,0,20,73,2,0,20
103,綜合高中,國立,男,1766,0,18,1,33,0,1,2
103,綜合高中,國立,女,1754,0,0,3,35,1,2,0
103,綜合高中,私立,男,4563,4,195,30,34,5,5,12
103,綜合高中,私立,女,5581,6,0,27,34,4,5,23
103,實用技能學程,國立,男,1978,7,179,36,9,2,1,13
103,實用技能學程,國立,女,1438,7,0,44,6,5,0,7
103,實用技能學程,國立,男,246,0,14,2,0,0,0,0
103,實用技能學程,國立,女,155,0,0,2,19,1,0,3
103,實用技能學程,私立,男,4683,34,374,225,19,18,3,76
103,實用技能學程,私立,女,3804,21,0,183,15,13,0,32
103,進修部,國立,男,2770,6,280,101,22,8,3,33
103,進修部,國立,女,2142,5,0,64,13,5,6,46
103,進修部,國立,男,923,5,25,16,9,1,1,18
103,進修部,國立,女,635,0,0,5,2,1,0,88
103,進修部,私立,男,7077,39,603,351,42,20,7,172
103,進修部,私立,女,5515,36,0,272,48,33,26,83
104,普通科,國立,男,16969,10,102,5,464,4,12,11
104,普通科,國立,女,17103,5,0,22,228,2,8,16
104,普通科,國立,男,19250,14,172,17,393,4,13,22
104,普通科,國立,女,21017,8,0,11,224,4,10,7
104,普通科,私立,男,12552,1,95,8,237,5,26,15
104,普通科,私立,女,11733,1,0,2,125,4,17,9
104,專業群科,國立,男,17295,51,763,178,177,20,8,63
104,專業群科,國立,女,12921,27,0,123,86,22,3,37
104,專業群科,國立,男,6896,18,96,33,152,9,9,22
104,專業群科,國立,女,4290,3,0,12,49,4,4,25
104,專業群科,私立,男,32477,158,1765,720,194,64,41,265
104,專業群科,私立,女,29519,128,0,589,196,82,67,187
104,綜合高中,國立,男,3823,3,71,17,57,1,3,6
104,綜合高中,國立,女,4882,2,0,17,56,6,3,1
104,綜合高中,國立,男,1769,2,29,8,25,0,3,2
104,綜合高中,國立,女,1840,1,0,5,19,0,0,0
104,綜合高中,私立,男,4057,9,186,20,22,5,4,17
104,綜合高中,私立,女,4216,3,0,19,24,6,6,8
104,實用技能學程,國立,男,1770,21,133,52,21,4,0,25
104,實用技能學程,國立,女,1320,8,0,51,7,0,2,6
104,實用技能學程,國立,男,201,0,14,9,0,1,0,1
104,實用技能學程,國立,女,91,0,0,1,0,0,0,0
104,實用技能學程,私立,男,4175,17,357,233,33,12,4,54
104,實用技能學程,私立,女,3377,35,0,220,26,19,4,29
104,進修部,國立,男,2476,7,238,79,7,7,0,41
