學年度,設立別,學校所在地別,畢業生人數,未升學就業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數
102,國立,南投縣,3889,109,17,28,14,42,7,1
102,國立,嘉義市,4999,185,5,41,39,97,2,1
102,國立,基隆市,2782,74,0,33,5,35,0,1
102,國立,外島,1545,77,0,40,16,15,6,0
102,國立,宜蘭縣,4097,148,4,58,21,56,5,4
102,國立,屏東縣,4779,306,13,160,31,97,5,0
102,國立,彰化縣,8796,234,14,71,33,112,2,2
102,國立,新北市,12621,221,7,44,27,138,1,4
102,國立,新竹市,5231,82,2,17,7,54,0,2
102,國立,桃園市,10050,198,0,33,41,118,4,2
102,國立,臺中市,14127,392,16,56,68,241,6,5
102,國立,臺北市,23503,541,11,31,14,426,18,41
102,國立,臺南市,11423,399,20,144,36,183,13,3
102,國立,臺東縣,1467,74,3,33,8,24,4,2
102,國立,花蓮縣,2236,125,4,60,20,37,4,0
102,國立,苗栗縣,3550,77,3,14,12,46,0,2
102,國立,雲林縣,4038,147,2,76,18,47,3,1
102,國立,高雄市,15855,478,10,135,26,296,5,6
102,私立,南投縣,1251,125,0,44,76,4,1,0
102,私立,嘉義市,5192,527,7,257,190,66,5,2
102,私立,基隆市,1938,19,0,14,2,3,0,0
102,私立,外島,0,0,0,0,0,0,0,0
102,私立,宜蘭縣,413,25,0,1,0,18,0,6
102,私立,屏東縣,2388,341,12,180,119,20,10,0
102,私立,彰化縣,5037,529,43,269,171,31,14,1
102,私立,新北市,16040,727,24,278,194,179,33,19
102,私立,新竹市,5564,209,12,117,47,19,14,0
102,私立,桃園市,14221,812,47,310,346,77,23,9
102,私立,臺中市,19405,518,17,189,137,146,15,14
102,私立,臺北市,15262,440,61,160,66,122,8,23
102,私立,臺南市,10523,651,20,273,188,142,25,3
102,私立,臺東縣,428,65,7,43,9,4,1,1
102,私立,花蓮縣,1616,59,2,18,16,19,3,1
102,私立,苗栗縣,2623,189,31,81,39,23,10,5
102,私立,雲林縣,3336,151,3,80,15,49,4,0
102,私立,高雄市,15094,1198,80,558,361,147,38,14
103,國立,南投縣,4072,153,27,48,22,49,7,0
103,國立,嘉義市,5294,246,16,93,25,110,1,1
103,國立,基隆市,2946,103,3,40,15,40,3,2
103,國立,外島,1643,152,1,96,29,25,1,0
103,國立,宜蘭縣,4438,226,6,104,46,61,5,4
103,國立,屏東縣,5030,280,23,142,52,52,10,1
103,國立,彰化縣,9899,360,9,128,125,90,6,2
103,國立,新北市,13840,378,4,76,43,247,5,3
103,國立,新竹市,5512,85,3,23,11,39,5,4
103,國立,桃園市,11014,244,5,75,35,121,2,6
103,國立,臺中市,15327,548,15,133,77,312,5,6
103,國立,臺北市,23425,418,15,56,21,302,8,16
103,國立,臺南市,11712,456,36,177,65,156,12,10
103,國立,臺東縣,1535,135,1,96,12,25,1,0
