學年度,設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
102,國立,新北市,504,0,1,0,4,0,0,0
102,國立,臺北市,1355,0,6,0,32,0,1,3
102,國立,臺中市,11254,14,46,68,198,6,5,27
102,國立,臺南市,10825,20,144,36,176,13,3,8
102,國立,高雄市,4585,7,73,15,71,0,0,5
102,國立,宜蘭縣,4009,4,53,20,50,5,2,19
102,國立,桃園市,7103,0,25,35,65,3,1,1
102,國立,新竹市,1508,0,7,7,15,0,0,1
102,國立,苗栗縣,3168,3,12,12,45,0,2,2
102,國立,彰化縣,8191,14,69,33,103,2,2,13
102,國立,南投縣,3621,17,27,13,34,6,1,37
102,國立,雲林縣,3657,2,72,17,45,3,1,19
102,國立,嘉義市,1029,1,10,13,13,1,0,3
102,國立,屏東縣,4211,13,150,30,75,5,0,23
102,國立,臺東縣,1453,3,31,8,24,4,2,14
102,國立,花蓮縣,2193,4,60,20,37,4,0,9
102,國立,澎湖縣,800,0,8,11,13,5,0,25
102,國立,基隆市,2411,0,29,5,33,0,1,2
102,國立,新竹市,2707,1,4,0,28,0,2,0
102,國立,嘉義市,3783,4,31,25,71,1,1,3
102,國立,金門縣,637,0,32,5,2,1,0,17
102,國立,連江縣,108,0,0,0,0,0,0,5
102,國立,新北市,12117,7,43,27,134,1,4,68
102,國立,臺北市,22148,11,25,14,394,18,40,46
102,國立,臺中市,2873,2,10,0,43,0,0,0
102,國立,臺南市,598,0,0,0,7,0,0,0
102,國立,高雄市,11270,3,62,11,225,5,6,8
102,國立,宜蘭縣,88,0,5,1,6,0,2,1
102,國立,桃園市,2947,0,8,6,53,1,1,6
102,國立,新竹市,199,1,2,0,3,0,0,0
102,國立,苗栗縣,382,0,2,0,1,0,0,2
102,國立,彰化縣,605,0,2,0,9,0,0,1
102,國立,南投縣,268,0,1,1,8,1,0,0
102,國立,雲林縣,381,0,4,1,2,0,0,0
102,國立,嘉義市,187,0,0,1,13,0,0,0
102,國立,屏東縣,568,0,10,1,22,0,0,4
102,國立,臺東縣,14,0,2,0,0,0,0,3
102,國立,花蓮縣,43,0,0,0,0,0,0,4
102,國立,澎湖縣,0,0,0,0,0,0,0,0
102,國立,基隆市,371,0,4,0,2,0,0,0
102,國立,新竹市,817,0,4,0,8,0,0,0
102,國立,嘉義市,0,0,0,0,0,0,0,0
102,國立,金門縣,0,0,0,0,0,0,0,0
102,國立,連江縣,0,0,0,0,0,0,0,0
102,私立,新北市,16040,24,278,194,179,33,19,76
102,私立,臺北市,15262,61,160,66,122,8,23,77
102,私立,臺中市,19405,17,189,137,146,15,14,64
102,私立,臺南市,10523,20,273,188,142,25,3,93
102,私立,高雄市,15094,80,558,361,147,38,14,161
102,私立,宜蘭縣,413,0,1,0,18,0,6,0
102,私立,桃園市,14221,47,310,346,77,23,9,139
102,私立,新竹市,2975,6,68,31,3,3,0,10
102,私立,苗栗縣,2623,31,81,39,23,10,5,56
102,私立,彰化縣,5037,43,269,171,31,14,1,8
102,私立,南投縣,1251,0,44,76,4,1,0,1
102,私立,雲林縣,3336,3,80,15,49,4,0,11
102,私立,嘉義市,2268,2,125,105,26,3,1,30
102,私立,屏東縣,2388,12,180,119,20,10,0,11
