設立別,學程別,學程分流,群別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,,,34267,4,98,9,750,3,4,31,0.0116730382,0.2859894359,0.026264336,2.1886946625,0.0087547787,0.0116730382,0.0904660461
國立,職業科,,機械群,4502,15,100,21,40,5,1,11,0.33,2.22,0.47,0.89,0.11,0.02,0.24
國立,職業科,,動力機械群,1239,4,66,4,22,3,1,3,0.32,5.33,0.32,1.78,0.24,0.08,0.24
國立,職業科,,電機與電子群,5195,16,143,25,54,3,1,17,0.31,2.75,0.48,1.04,0.06,0.02,0.33
國立,職業科,,化工群,1268,1,12,3,12,0,1,1,0.08,0.95,0.24,0.95,0,0.08,0.08
國立,職業科,,土木與建築群,1267,2,29,2,16,1,1,4,0.16,2.29,0.16,1.26,0.08,0.08,0.32
國立,職業科,,商業與管理群,7990,2,55,15,54,2,1,15,0.03,0.69,0.19,0.68,0.03,0.01,0.19
國立,職業科,,外語群,887,0,1,0,3,0,1,0,0,0.11,0,0.34,0,0.11,0
國立,職業科,,設計群,1193,1,10,3,17,0,1,5,0.08,0.84,0.25,1.42,0,0.08,0.42
國立,職業科,,農業群,1803,1,34,22,7,1,1,10,0.06,1.89,1.22,0.39,0.06,0.06,0.55
國立,職業科,,食品群,1297,5,12,16,6,3,2,5,0.39,0.93,1.23,0.46,0.23,0.15,0.39
國立,職業科,,家政群,1414,0,4,11,4,2,0,5,0,0.28,0.78,0.28,0.14,0,0.35
國立,職業科,,餐旅群,978,0,7,1,2,2,0,3,0,0.72,0.10,0.20,0.20,0,0.31
國立,職業科,,水產群,305,0,5,4,0,1,0,1,0,1.64,1.31,0,0.33,0,0.33
國立,職業科,,海事群,269,4,17,2,1,0,0,4,1.49,6.32,0.74,0.37,0,0,1.49
國立,職業科,,藝術群,151,0,6,0,2,0,1,3,0,3.97,0,1.32,0,0.66,1.99
