設立別,學校所在地,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,新北市,504,0,1,0,4,0,0,0,0,0.20,0,0.79,0,0,0
國立,臺北市,1355,0,6,0,32,0,1,3,0,0.44,0,2.36,0,0.07,0.22
國立,臺中市,11254,14,46,68,198,6,5,27,0.12,0.41,0.60,1.76,0.05,0.04,0.24
國立,臺南市,10825,20,144,36,176,13,3,8,0.18,1.33,0.33,1.63,0.12,0.03,0.07
國立,高雄市,4585,7,73,15,71,0,0,5,0.15,1.59,0.33,1.55,0,0,0.11
國立,宜蘭縣,4009,4,53,20,50,5,2,19,0.10,1.32,0.50,1.25,0.12,0.05,0.47
國立,桃園縣,7103,0,25,35,65,3,1,1,0,0.35,0.49,0.92,0.04,0.01,0.01
國立,新竹縣,1508,0,7,7,15,0,0,1,0,0.46,0.46,0.99,0,0,0.07
國立,苗栗縣,3168,3,12,12,45,0,2,2,0.09,0.38,0.38,1.42,0,0.06,0.06
國立,彰化縣,8191,14,69,33,103,2,2,13,0.17,0.84,0.40,1.26,0.02,0.02,0.16
國立,南投縣,3621,17,27,13,34,6,1,37,0.47,0.75,0.36,0.94,0.17,0.03,1.02
國立,雲林縣,3657,2,72,17,45,3,1,19,0.05,1.97,0.46,1.23,0.08,0.03,0.52
國立,嘉義縣,1029,1,10,13,13,1,0,3,0.10,0.97,1.26,1.26,0.10,0,0.29
國立,屏東縣,4211,13,150,30,75,5,0,23,0.31,3.56,0.71,1.78,0.12,0,0.55
國立,臺東縣,1453,3,31,8,24,4,2,14,0.21,2.13,0.55,1.65,0.28,0.14,0.96
國立,花蓮縣,2193,4,60,20,37,4,0,9,0.18,2.74,0.91,1.69,0.18,0,0.41
國立,澎湖縣,800,0,8,11,13,5,0,25,0,1.00,1.38,1.63,0.63,0,3.13
國立,基隆市,2411,0,29,5,33,0,1,2,0,1.20,0.21,1.37,0,0.04,0.08
國立,新竹市,2707,1,4,0,28,0,2,0,0.04,0.15,0,1.03,0,0.07,0
國立,嘉義市,3783,4,31,25,71,1,1,3,0.11,0.82,0.66,1.88,0.03,0.03,0.08
國立,金門縣,637,0,32,5,2,1,0,17,0,5.02,0.78,0.31,0.16,0,2.67
國立,連江縣,108,0,0,0,0,0,0,5,0,0,0,0,0,0,4.63
縣市立,新北市,12117,7,43,27,134,1,4,68,0.06,0.35,0.22,1.11,0.01,0.03,0.56
縣市立,臺北市,22148,11,25,14,394,18,40,46,0.05,0.11,0.06,1.78,0.08,0.18,0.21
縣市立,臺中市,2873,2,10,0,43,0,0,0,0.07,0.35,0,1.50,0,0,0
縣市立,臺南市,598,0,0,0,7,0,0,0,0,0,0,1.17,0,0,0
縣市立,高雄市,11270,3,62,11,225,5,6,8,0.03,0.55,0.10,2.00,0.04,0.05,0.07
縣市立,宜蘭縣,88,0,5,1,6,0,2,1,0,5.68,1.14,6.82,0,2.27,1.14
縣市立,桃園縣,2947,0,8,6,53,1,1,6,0,0.27,0.20,1.80,0.03,0.03,0.20
縣市立,新竹縣,199,1,2,0,3,0,0,0,0.50,1.01,0,1.51,0,0,0
縣市立,苗栗縣,382,0,2,0,1,0,0,2,0,0.52,0,0.26,0,0,0.52
縣市立,彰化縣,605,0,2,0,9,0,0,1,0,0.33,0,1.49,0,0,0.17
縣市立,南投縣,268,0,1,1,8,1,0,0,0,0.37,0.37,2.99,0.37,0,0
縣市立,雲林縣,381,0,4,1,2,0,0,0,0,1.05,0.26,0.52,0,0,0
縣市立,嘉義縣,187,0,0,1,13,0,0,0,0,0,0.53,6.95,0,0,0
縣市立,屏東縣,568,0,10,1,22,0,0,4,0,1.76,0.18,3.87,0,0,0.70
縣市立,臺東縣,14,0,2,0,0,0,0,3,0,14.29,0,0,0,0,21.43
縣市立,花蓮縣,43,0,0,0,0,0,0,4,0,0,0,0,0,0,9.30
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,371,0,4,0,2,0,0,0,0,1.08,0,0.54,0,0,0
縣市立,新竹市,817,0,4,0,8,0,0,0,0,0.49,0,0.98,0,0,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,16040,24,278,194,179,33,19,76,0.15,1.73,1.21,1.12,0.21,0.12,0.47
私立,臺北市,15262,61,160,66,122,8,23,77,0.40,1.05,0.43,0.80,0.05,0.15,0.50
私立,臺中市,19405,17,189,137,146,15,14,64,0.09,0.97,0.71,0.75,0.08,0.07,0.33
私立,臺南市,10523,20,273,188,142,25,3,93,0.19,2.59,1.79,1.35,0.24,0.03,0.88
私立,高雄市,15094,80,558,361,147,38,14,161,0.53,3.70,2.39,0.97,0.25,0.09,1.07
私立,宜蘭縣,413,0,1,0,18,0,6,0,0,0.24,0,4.36,0,1.45,0
私立,桃園縣,14221,47,310,346,77,23,9,139,0.33,2.18,2.43,0.54,0.16,0.06,0.98
私立,新竹縣,2975,6,68,31,3,3,0,10,0.20,2.29,1.04,0.10,0.10,0,0.34
私立,苗栗縣,2623,31,81,39,23,10,5,56,1.18,3.09,1.49,0.88,0.38,0.19,2.13
私立,彰化縣,5037,43,269,171,31,14,1,8,0.85,5.34,3.39,0.62,0.28,0.02,0.16
私立,南投縣,1251,0,44,76,4,1,0,1,0,3.52,6.08,0.32,0.08,0,0.08
私立,雲林縣,3336,3,80,15,49,4,0,11,0.09,2.40,0.45,1.47,0.12,0,0.33
私立,嘉義縣,2268,2,125,105,26,3,1,30,0.09,5.51,4.63,1.15,0.13,0.04,1.32
私立,屏東縣,2388,12,180,119,20,10,0,11,0.50,7.54,4.98,0.84,0.42,0,0.46
私立,臺東縣,428,7,43,9,4,1,1,3,1.64,10.05,2.10,0.93,0.23,0.23,0.70
私立,花蓮縣,1616,2,18,16,19,3,1,9,0.12,1.11,0.99,1.18,0.19,0.06,0.56
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1938,0,14,2,3,0,0,1,0,0.72,0.10,0.15,0,0,0.05
私立,新竹市,2589,6,49,16,16,11,0,34,0.23,1.89,0.62,0.62,0.42,0,1.31
私立,嘉義市,2924,5,132,85,40,2,1,23,0.17,4.51,2.91,1.37,0.07,0.03,0.79
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
