學程別,設立別,性別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
普通科,國立,男,16969,10,102,5,464,4,12,11,0.058930991808592,0.60109611644764,0.029465495904296,2.73439801991868,0.023572396723437,0.070717190170311,0.064824090989451
普通科,國立,女,17103,5,0,22,228,2,8,16,0.029234637198152,0,0.12863240367187,1.33309945623575,0.011693854879261,0.046775419517044,0.093550839034088
普通科,縣市立,男,19250,14,172,17,393,4,13,22,0.072727272727273,0.893506493506493,0.088311688311688,2.04155844155844,0.020779220779221,0.067532467532468,0.114285714285714
普通科,縣市立,女,21017,8,0,11,224,4,10,7,0.038064424037684,0,0.052338583051815,1.06580387305515,0.019032212018842,0.047580530047105,0.033306371032973
普通科,私立,男,12552,1,95,8,237,5,26,15,0.007966857871256,0.75685149776928,0.063734862970045,1.88814531548757,0.039834289356278,0.207138304652645,0.119502868068834
普通科,私立,女,11733,1,0,2,125,4,17,9,0.00852296940254,0,0.01704593880508,1.06537117531748,0.034091877610159,0.144890479843177,0.076706724622859
專業群(職業)科,國立,男,17295,51,763,178,177,20,8,63,0.294882914137034,4.411679676207,1.02919919051749,1.02341717259324,0.115640358485111,0.046256143394045,0.364267129228101
專業群(職業)科,國立,女,12921,27,0,123,86,22,3,37,0.208962154631994,0,0.951938704434641,0.665583159198204,0.170265459329773,0.023218017181333,0.286355545236437
專業群(職業)科,縣市立,男,6896,18,96,33,152,9,9,22,0.261020881670534,1.39211136890951,0.478538283062645,2.20417633410673,0.130510440835267,0.130510440835267,0.319025522041763
專業群(職業)科,縣市立,女,4290,3,0,12,49,4,4,25,0.06993006993007,0,0.27972027972028,1.14219114219114,0.093240093240093,0.093240093240093,0.582750582750583
專業群(職業)科,私立,男,32477,158,1765,720,194,64,41,265,0.486498137143209,5.43461526618838,2.2169535363488,0.597345813960649,0.197062536564338,0.126243187486529,0.815962065461711
專業群(職業)科,私立,女,29519,128,0,589,196,82,67,187,0.433619025034723,0,1.99532504488634,0.66397913208442,0.27778718791287,0.226972458416613,0.633490294386666
綜合高中,國立,男,3823,3,71,17,57,1,3,6,0.078472403871305,1.85718022495422,0.44467695527073,1.4909756735548,0.026157467957102,0.078472403871305,0.156944807742611
綜合高中,國立,女,4882,2,0,17,56,6,3,1,0.040966816878329,0,0.348217943465793,1.1470708725932,0.122900450634986,0.061450225317493,0.020483408439164
綜合高中,縣市立,男,1769,2,29,8,25,0,3,2,0.113058224985868,1.63934426229508,0.452232899943471,1.41322781232335,0,0.169587337478802,0.113058224985868
綜合高中,縣市立,女,1840,1,0,5,19,0,0,0,0.054347826086957,0,0.271739130434783,1.03260869565217,0,0,0
綜合高中,私立,男,4057,9,186,20,22,5,4,17,0.221838797140744,4.58466847424205,0.49297510475721,0.542272615232931,0.123243776189302,0.098595020951442,0.419028839043628
綜合高中,私立,女,4216,3,0,19,24,6,6,8,0.071157495256167,0,0.450664136622391,0.569259962049336,0.142314990512334,0.142314990512334,0.189753320683112
實用技能學程,國立,男,1770,21,133,52,21,4,0,25,1.1864406779661,7.51412429378531,2.93785310734463,1.1864406779661,0.225988700564972,0,1.41242937853107
實用技能學程,國立,女,1320,8,0,51,7,0,2,6,0.606060606060606,0,3.86363636363636,0.53030303030303,0,0.151515151515152,0.454545454545455
實用技能學程,縣市立,男,201,0,14,9,0,1,0,1,0,6.96517412935323,4.47761194029851,0,0.497512437810945,0,0.497512437810945
實用技能學程,縣市立,女,91,0,0,1,0,0,0,0,0,0,1.0989010989011,0,0,0,0
實用技能學程,私立,男,4175,17,357,233,33,12,4,54,0.407185628742515,8.55089820359281,5.58083832335329,0.790419161676647,0.287425149700599,0.095808383233533,1.29341317365269
實用技能學程,私立,女,3377,35,0,220,26,19,4,29,1.0364228605271,0,6.51465798045603,0.769914124962985,0.562629552857566,0.118448326917382,0.858750370151022
進修部(學校),國立,男,2476,7,238,79,7,7,0,41,0.282714054927302,9.61227786752827,3.19063004846527,0.282714054927302,0.282714054927302,0,1.65589660743134
進修部(學校),國立,女,1733,1,0,55,5,13,2,31,0.057703404500866,0,3.17368724754761,0.288517022504328,0.750144258511252,0.115406809001731,1.78880553952683
進修部(學校),縣市立,男,1176,1,35,18,6,0,1,18,0.085034013605442,2.97619047619048,1.53061224489796,0.510204081632653,0,0.085034013605442,1.53061224489796
進修部(學校),縣市立,女,802,1,0,2,7,0,4,67,0.124688279301746,0,0.249376558603491,0.872817955112219,0,0.498753117206983,8.35411471321696
進修部(學校),私立,男,5956,39,467,304,34,18,17,133,0.654801880456682,7.84083277367361,5.10409670920081,0.570852921423774,0.302216252518469,0.285426460711887,2.23304231027535
進修部(學校),私立,女,4486,35,0,241,48,34,21,74,0.780205082478823,0,5.37226928221132,1.06999554168524,0.757913508693714,0.468123049487294,1.64957646009808
