設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,普通科,27679,10,109,17,506,3,9,10,0.04,0.39,0.06,1.83,0.01,0.03,0.04
國立,專業群(職業)科,機械群,3347,16,86,18,40,4,0,17,0.48,2.57,0.54,1.20,0.12,0.00,0.51
國立,專業群(職業)科,動力機械群,958,0,107,8,11,1,0,6,0.00,11.17,0.84,1.15,0.10,0.00,0.63
國立,專業群(職業)科,電機與電子群,3947,8,185,20,41,1,1,30,0.20,4.69,0.51,1.04,0.03,0.03,0.76
國立,專業群(職業)科,化工群,846,0,20,3,11,0,0,5,0.00,2.36,0.35,1.30,0.00,0.00,0.59
國立,專業群(職業)科,土木與建築群,1007,3,42,5,13,1,2,7,0.30,4.17,0.50,1.29,0.10,0.20,0.70
國立,專業群(職業)科,商業與管理群,6136,9,69,33,37,5,1,13,0.15,1.12,0.54,0.60,0.08,0.02,0.21
國立,專業群(職業)科,外語群,927,0,3,0,10,0,1,3,0.00,0.32,0.00,1.08,0.00,0.11,0.32
國立,專業群(職業)科,設計群,1139,2,5,7,15,0,0,4,0.18,0.44,0.61,1.32,0.00,0.00,0.35
國立,專業群(職業)科,農業群,1590,1,72,30,11,3,0,1,0.06,4.53,1.89,0.69,0.19,0.00,0.06
國立,專業群(職業)科,食品群,1128,3,31,29,3,0,0,2,0.27,2.75,2.57,0.27,0.00,0.00,0.18
國立,專業群(職業)科,家政群,1186,0,7,13,3,0,1,1,0.00,0.59,1.10,0.25,0.00,0.08,0.08
國立,專業群(職業)科,餐旅群,1072,2,21,24,3,3,0,0,0.19,1.96,2.24,0.28,0.28,0.00,0.00
國立,專業群(職業)科,水產群,210,0,24,14,0,0,0,0,0.00,11.43,6.67,0.00,0.00,0.00,0.00
國立,專業群(職業)科,海事群,241,0,50,11,3,1,0,8,0.00,20.75,4.56,1.24,0.41,0.00,3.32
國立,專業群(職業)科,藝術群,134,0,4,0,1,0,0,7,0.00,2.99,0.00,0.75,0.00,0.00,5.22
國立,專業群(職業)科,綜合,685,36,6,93,8,12,0,14,5.26,0.88,13.58,1.17,1.75,0.00,2.04
國立,綜合高中,學術群,3793,2,13,5,60,2,3,4,0.05,0.34,0.13,1.58,0.05,0.08,0.11
國立,綜合高中,機械群,196,0,10,0,4,0,0,2,0.00,5.10,0.00,2.04,0.00,0.00,1.02
國立,綜合高中,動力機械群,12,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
國立,綜合高中,電機與電子群,303,0,8,2,1,0,0,1,0.00,2.64,0.66,0.33,0.00,0.00,0.33
國立,綜合高中,化工群,40,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
國立,綜合高中,土木與建築群,140,0,3,1,1,0,0,0,0.00,2.14,0.71,0.71,0.00,0.00,0.00
國立,綜合高中,商業與管理群,937,1,14,3,8,0,0,1,0.11,1.49,0.32,0.85,0.00,0.00,0.11
國立,綜合高中,外語群,199,0,1,0,3,0,0,2,0.00,0.50,0.00,1.51,0.00,0.00,1.01
國立,綜合高中,設計群,248,1,2,0,2,0,0,0,0.40,0.81,0.00,0.81,0.00,0.00,0.00
國立,綜合高中,農業群,84,0,1,1,4,0,0,0,0.00,1.19,1.19,4.76,0.00,0.00,0.00
國立,綜合高中,食品群,168,0,1,1,1,0,0,0,0.00,0.60,0.60,0.60,0.00,0.00,0.00
國立,綜合高中,家政群,65,1,0,1,0,0,0,0,1.54,0.00,1.54,0.00,0.00,0.00,0.00
國立,綜合高中,餐旅群,418,1,6,1,3,0,0,0,0.24,1.44,0.24,0.72,0.00,0.00,0.00
國立,綜合高中,水產群,28,0,4,0,0,0,0,0,0.00,14.29,0.00,0.00,0.00,0.00,0.00
國立,綜合高中,海事群,18,0,2,1,0,0,0,0,0.00,11.11,5.56,0.00,0.00,0.00,0.00
國立,綜合高中,藝術群,5,1,0,0,0,0,0,3,20.00,0.00,0.00,0.00,0.00,0.00,60.00
國立,綜合高中,綜合,90,0,7,0,0,0,0,0,0.00,7.78,0.00,0.00,0.00,0.00,0.00
國立,實用技能學程,機械群,341,5,14,11,3,0,0,6,1.47,4.11,3.23,0.88,0.00,0.00,1.76
國立,實用技能學程,動力機械群,70,0,3,5,0,0,0,1,0.00,4.29,7.14,0.00,0.00,0.00,1.43
國立,實用技能學程,電機與電子群,411,5,44,5,4,1,0,0,1.22,10.71,1.22,0.97,0.24,0.00,0.00
國立,實用技能學程,化工群,25,0,1,0,0,0,0,0,0.00,4.00,0.00,0.00,0.00,0.00,0.00
國立,實用技能學程,土木與建築群,96,0,5,1,1,0,0,0,0.00,5.21,1.04,1.04,0.00,0.00,0.00
國立,實用技能學程,商業與管理群,487,6,23,16,4,2,1,3,1.23,4.72,3.29,0.82,0.41,0.21,0.62
國立,實用技能學程,設計群,133,2,3,7,2,0,0,0,1.50,2.26,5.26,1.50,0.00,0.00,0.00
國立,實用技能學程,農業群,116,0,5,1,0,0,0,0,0.00,4.31,0.86,0.00,0.00,0.00,0.00
國立,實用技能學程,食品群,214,1,14,14,1,2,0,3,0.47,6.54,6.54,0.47,0.93,0.00,1.40
國立,實用技能學程,餐旅群,383,0,8,13,0,4,0,1,0.00,2.09,3.39,0.00,1.04,0.00,0.26
國立,實用技能學程,水產群,30,0,2,1,0,0,0,0,0.00,6.67,3.33,0.00,0.00,0.00,0.00
國立,實用技能學程,海事群,62,1,14,0,1,0,0,0,1.61,22.58,0.00,1.61,0.00,0.00,0.00
國立,實用技能學程,美容造型群,159,0,2,6,0,0,0,0,0.00,1.26,3.77,0.00,0.00,0.00,0.00
國立,進修部(學校),普通科,99,0,4,1,4,0,1,2,0.00,4.04,1.01,4.04,0.00,1.01,2.02
國立,進修部(學校),機械群,415,9,36,17,0,0,0,13,2.17,8.67,4.10,0.00,0.00,0.00,3.13
國立,進修部(學校),動力機械群,123,0,12,4,1,0,0,20,0.00,9.76,3.25,0.81,0.00,0.00,16.26
國立,進修部(學校),電機與電子群,436,1,41,11,2,0,0,11,0.23,9.40,2.52,0.46,0.00,0.00,2.52
國立,進修部(學校),化工群,52,0,5,3,0,0,0,1,0.00,9.62,5.77,0.00,0.00,0.00,1.92
國立,進修部(學校),土木與建築群,16,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,6.25
國立,進修部(學校),商業與管理群,993,2,24,28,6,5,2,34,0.20,2.42,2.82,0.60,0.50,0.20,3.42
國立,進修部(學校),外語群,9,0,0,1,0,2,0,0,0.00,0.00,11.11,0.00,22.22,0.00,0.00
國立,進修部(學校),設計群,170,0,12,4,0,1,0,4,0.00,7.06,2.35,0.00,0.59,0.00,2.35
國立,進修部(學校),農業群,64,0,8,6,0,0,0,1,0.00,12.50,9.38,0.00,0.00,0.00,1.56
國立,進修部(學校),食品群,166,0,6,5,0,0,0,1,0.00,3.61,3.01,0.00,0.00,0.00,0.60
國立,進修部(學校),家政群,178,0,2,4,0,1,0,6,0.00,1.12,2.25,0.00,0.56,0.00,3.37
國立,進修部(學校),餐旅群,190,0,10,1,0,0,0,3,0.00,5.26,0.53,0.00,0.00,0.00,1.58
縣市立,普通科,普通科,42125,71,117,22,542,4,17,43,0.17,0.28,0.05,1.29,0.01,0.04,0.10
縣市立,專業群(職業)科,機械群,2455,6,30,17,22,0,0,4,0.24,1.22,0.69,0.90,0.00,0.00,0.16
縣市立,專業群(職業)科,動力機械群,851,5,12,6,29,1,0,3,0.59,1.41,0.71,3.41,0.12,0.00,0.35
縣市立,專業群(職業)科,電機與電子群,3551,4,39,5,58,0,3,4,0.11,1.10,0.14,1.63,0.00,0.08,0.11
縣市立,專業群(職業)科,化工群,558,0,4,0,2,0,0,0,0.00,0.72,0.00,0.36,0.00,0.00,0.00
縣市立,專業群(職業)科,土木與建築群,621,4,9,7,7,0,1,2,0.64,1.45,1.13,1.13,0.00,0.16,0.32
縣市立,專業群(職業)科,商業與管理群,3067,4,7,1,14,1,9,2,0.13,0.23,0.03,0.46,0.03,0.29,0.07
縣市立,專業群(職業)科,外語群,605,0,0,0,2,0,2,0,0.00,0.00,0.00,0.33,0.00,0.33,0.00
縣市立,專業群(職業)科,設計群,1278,0,3,0,10,2,5,1,0.00,0.23,0.00,0.78,0.16,0.39,0.08
縣市立,專業群(職業)科,農業群,177,0,0,0,3,0,0,0,0.00,0.00,0.00,1.69,0.00,0.00,0.00
縣市立,專業群(職業)科,食品群,109,0,1,0,0,0,0,0,0.00,0.92,0.00,0.00,0.00,0.00,0.00
縣市立,專業群(職業)科,家政群,249,0,0,1,5,0,0,0,0.00,0.00,0.40,2.01,0.00,0.00,0.00
縣市立,專業群(職業)科,餐旅群,266,0,2,1,1,0,0,1,0.00,0.75,0.38,0.38,0.00,0.00,0.38
縣市立,專業群(職業)科,藝術群,63,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,1.59
縣市立,專業群(職業)科,綜合,390,19,0,71,1,1,0,8,4.87,0.00,18.21,0.26,0.26,0.00,2.05
縣市立,綜合高中,學術群,2330,0,5,3,37,0,5,1,0.00,0.21,0.13,1.59,0.00,0.21,0.04
縣市立,綜合高中,機械群,43,0,0,0,1,0,0,0,0.00,0.00,0.00,2.33,0.00,0.00,0.00
縣市立,綜合高中,電機與電子群,220,1,0,0,7,0,0,0,0.45,0.00,0.00,3.18,0.00,0.00,0.00
縣市立,綜合高中,化工群,57,0,0,0,1,0,0,0,0.00,0.00,0.00,1.75,0.00,0.00,0.00
縣市立,綜合高中,土木與建築群,136,1,1,0,5,0,0,0,0.74,0.74,0.00,3.68,0.00,0.00,0.00
縣市立,綜合高中,商業與管理群,466,0,1,0,1,0,0,1,0.00,0.21,0.00,0.21,0.00,0.00,0.21
縣市立,綜合高中,外語群,37,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立,綜合高中,設計群,279,0,2,1,7,0,0,0,0.00,0.72,0.36,2.51,0.00,0.00,0.00
縣市立,綜合高中,農業群,18,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立,綜合高中,家政群,43,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立,綜合高中,餐旅群,127,0,0,1,1,0,1,0,0.00,0.00,0.79,0.79,0.00,0.79,0.00
縣市立,綜合高中,綜合,7,1,0,0,0,0,0,0,14.29,0.00,0.00,0.00,0.00,0.00,0.00
縣市立,實用技能學程,機械群,93,0,5,1,0,0,0,0,0.00,5.38,1.08,0.00,0.00,0.00,0.00
縣市立,實用技能學程,動力機械群,49,0,7,1,0,1,0,0,0.00,14.29,2.04,0.00,2.04,0.00,0.00
縣市立,實用技能學程,電機與電子群,83,0,6,1,0,0,0,0,0.00,7.23,1.20,0.00,0.00,0.00,0.00
縣市立,實用技能學程,土木與建築群,23,0,1,1,0,0,0,0,0.00,4.35,4.35,0.00,0.00,0.00,0.00
縣市立,實用技能學程,商業與管理群,78,0,4,0,0,2,0,1,0.00,5.13,0.00,0.00,2.56,0.00,1.28
縣市立,實用技能學程,設計群,30,1,0,1,0,0,0,0,3.33,0.00,3.33,0.00,0.00,0.00,0.00
縣市立,實用技能學程,食品群,33,0,0,3,0,0,0,0,0.00,0.00,9.09,0.00,0.00,0.00,0.00
