設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,新北市,482 ,0 ,2 ,1 ,12 ,0 ,0 ,0 ,0.00 ,0.41,0.21,2.49,0.00 ,0.00 ,0.00 
國立,臺北市,1351 ,0 ,3 ,0 ,46 ,0 ,4 ,10 ,0.00 ,0.22,0.00 ,3.40,0.00 ,0.30,0.74
國立,桃園市,1589 ,0 ,6 ,4 ,22 ,1 ,0 ,0 ,0.00 ,0.38,0.25,1.38,0.06,0.00 ,0.00 
國立,臺中市,1465 ,3 ,7 ,12 ,26 ,0 ,0 ,7 ,0.20,0.48,0.82,1.77,0.00 ,0.00 ,0.48
國立,臺南市,9999 ,11 ,135 ,64 ,196 ,17 ,6 ,84 ,0.11,1.35,0.64,1.96,0.17,0.06,0.84
國立,高雄市,4388 ,9 ,75 ,28 ,119 ,2 ,1 ,7 ,0.21,1.71,0.64,2.71,0.05,0.02,0.16
國立,宜蘭縣,3578 ,5 ,75 ,33 ,57 ,1 ,2 ,14 ,0.14,2.10,0.92,1.59,0.03,0.06,0.39
國立,新竹縣,1462 ,0 ,2 ,8 ,31 ,0 ,1 ,2 ,0.00 ,0.14,0.55,2.12,0.00 ,0.07,0.14
國立,苗栗縣,2885 ,0 ,27 ,20 ,57 ,2 ,1 ,6 ,0.00 ,0.94,0.69,1.98,0.07,0.03,0.21
國立,彰化縣,8231 ,25 ,80 ,86 ,116 ,7 ,0 ,24 ,0.30,0.97,1.04,1.41,0.09,0.00 ,0.29
國立,南投縣,3324 ,4 ,68 ,30 ,112 ,2 ,1 ,24 ,0.12,2.05,0.90,3.37,0.06,0.03,0.72
國立,雲林縣,3305 ,3 ,35 ,44 ,65 ,4 ,1 ,6 ,0.09,1.06,1.33,1.97,0.12,0.03,0.18
國立,嘉義縣,996 ,11 ,18 ,25 ,18 ,0 ,0 ,6 ,1.10,1.81,2.51,1.81,0.00 ,0.00 ,0.60
國立,屏東縣,3867 ,30 ,57 ,75 ,85 ,11 ,4 ,34 ,0.78,1.47,1.94,2.20,0.28,0.10,0.88
國立,臺東縣,1299 ,0 ,61 ,12 ,23 ,1 ,0 ,10 ,0.00 ,4.70,0.92,1.77,0.08,0.00 ,0.77
國立,花蓮縣,1931 ,4 ,27 ,16 ,41 ,2 ,0 ,25 ,0.21,1.40,0.83,2.12,0.10,0.00 ,1.29
國立,澎湖縣,757 ,5 ,18 ,16 ,22 ,4 ,2 ,8 ,0.66,2.38,2.11,2.91,0.53,0.26,1.06
國立,基隆市,1700 ,7 ,18 ,14 ,23 ,2 ,2 ,6 ,0.41,1.06,0.82,1.35,0.12,0.12,0.35
國立,新竹市,2706 ,4 ,7 ,1 ,53 ,0 ,0 ,0 ,0.15,0.26,0.04,1.96,0.00 ,0.00 ,0.00 
國立,嘉義市,3657 ,6 ,22 ,28 ,126 ,0 ,1 ,5 ,0.16,0.60,0.77,3.45,0.00 ,0.03,0.14
國立,金門縣,558 ,5 ,26 ,0 ,8 ,1 ,0 ,2 ,0.90,4.66,0.00 ,1.43,0.18,0.00 ,0.36
國立,連江縣,115 ,0 ,2 ,0 ,1 ,0 ,0 ,1 ,0.00 ,1.74,0.00 ,0.87,0.00 ,0.00 ,0.87
縣市立,新北市,13204 ,9 ,71 ,61 ,284 ,13 ,7 ,74 ,0.07,0.54,0.46,2.15,0.10,0.05,0.56
縣市立,臺北市,19229 ,28 ,31 ,29 ,404 ,10 ,36 ,29 ,0.15,0.16,0.15,2.10,0.05,0.19,0.15
縣市立,桃園市,8025 ,1 ,21 ,38 ,144 ,1 ,1 ,17 ,0.01,0.26,0.47,1.79,0.01,0.01,0.21
縣市立,臺中市,12283 ,18 ,73 ,52 ,255 ,7 ,11 ,27 ,0.15,0.59,0.42,2.08,0.06,0.09,0.22
縣市立,臺南市,584 ,0 ,3 ,0 ,21 ,0 ,1 ,0 ,0.00 ,0.51,0.00 ,3.60,0.00 ,0.17,0.00 
縣市立,高雄市,10899 ,8 ,45 ,13 ,448 ,4 ,3 ,28 ,0.07,0.41,0.12,4.11,0.04,0.03,0.26
縣市立,宜蘭縣,89 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,0.00 ,0.00 ,0.00 ,5.62,0.00 ,0.00 ,2.25
縣市立,新竹縣,407 ,0 ,0 ,0 ,36 ,0 ,1 ,0 ,0.00 ,0.00 ,0.00 ,8.85,0.00 ,0.25,0.00 
縣市立,苗栗縣,624 ,2 ,9 ,5 ,11 ,0 ,0 ,3 ,0.32,1.44,0.80,1.76,0.00 ,0.00 ,0.48
縣市立,彰化縣,934 ,0 ,13 ,1 ,34 ,2 ,0 ,2 ,0.00 ,1.39,0.11,3.64,0.21,0.00 ,0.21
縣市立,南投縣,234 ,0 ,1 ,2 ,16 ,0 ,0 ,0 ,0.00 ,0.43,0.85,6.84,0.00 ,0.00 ,0.00 
縣市立,雲林縣,405 ,0 ,12 ,1 ,3 ,0 ,0 ,0 ,0.00 ,2.96,0.25,0.74,0.00 ,0.00 ,0.00 
縣市立,嘉義縣,231 ,0 ,3 ,0 ,4 ,0 ,0 ,0 ,0.00 ,1.30,0.00 ,1.73,0.00 ,0.00 ,0.00 
縣市立,屏東縣,640 ,0 ,3 ,2 ,27 ,0 ,0 ,1 ,0.00 ,0.47,0.31,4.22,0.00 ,0.00 ,0.16
縣市立,臺東縣,12 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,8.33,0.00 ,0.00 ,0.00 ,0.00 
縣市立,花蓮縣,46 ,1 ,1 ,1 ,0 ,0 ,0 ,1 ,2.17,2.17,2.17,0.00 ,0.00 ,0.00 ,2.17
縣市立,澎湖縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,基隆市,376 ,0 ,0 ,1 ,7 ,0 ,0 ,0 ,0.00 ,0.00 ,0.27,1.86,0.00 ,0.00 ,0.00 
縣市立,新竹市,848 ,0 ,7 ,0 ,7 ,0 ,0 ,1 ,0.00 ,0.83,0.00 ,0.83,0.00 ,0.00 ,0.12
縣市立,嘉義市,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,金門縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,連江縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,新北市,14836 ,41 ,167 ,208 ,218 ,36 ,46 ,63 ,0.28,1.13,1.40,1.47,0.24,0.31,0.42
私立,臺北市,13291 ,17 ,112 ,83 ,109 ,16 ,47 ,24 ,0.13,0.84,0.62,0.82,0.12,0.35,0.18
私立,桃園市,15570 ,43 ,294 ,339 ,160 ,26 ,23 ,143 ,0.28,1.89,2.18,1.03,0.17,0.15,0.92
私立,臺中市,19339 ,26 ,260 ,235 ,243 ,18 ,38 ,44 ,0.13,1.34,1.22,1.26,0.09,0.20,0.23
私立,臺南市,9173 ,39 ,218 ,208 ,196 ,20 ,7 ,57 ,0.43,2.38,2.27,2.14,0.22,0.08,0.62
私立,高雄市,12908 ,63 ,256 ,373 ,175 ,42 ,49 ,70 ,0.49,1.98,2.89,1.36,0.33,0.38,0.54
私立,宜蘭縣,515 ,0 ,4 ,0 ,37 ,0 ,0 ,0 ,0.00 ,0.78,0.00 ,7.18,0.00 ,0.00 ,0.00 
私立,新竹縣,2749 ,5 ,65 ,50 ,32 ,3 ,1 ,9 ,0.18,2.36,1.82,1.16,0.11,0.04,0.33
私立,苗栗縣,2049 ,6 ,64 ,91 ,24 ,4 ,3 ,5 ,0.29,3.12,4.44,1.17,0.20,0.15,0.24
私立,彰化縣,4214 ,15 ,48 ,85 ,52 ,13 ,3 ,3 ,0.36,1.14,2.02,1.23,0.31,0.07,0.07
私立,南投縣,1258 ,9 ,33 ,70 ,7 ,3 ,1 ,8 ,0.72,2.62,5.56,0.56,0.24,0.08,0.64
私立,雲林縣,3185 ,1 ,80 ,187 ,42 ,2 ,1 ,16 ,0.03,2.51,5.87,1.32,0.06,0.03,0.50
私立,嘉義縣,2156 ,20 ,78 ,51 ,28 ,2 ,5 ,20 ,0.93,3.62,2.37,1.30,0.09,0.23,0.93
私立,屏東縣,2265 ,9 ,35 ,98 ,35 ,1 ,6 ,30 ,0.40,1.55,4.33,1.55,0.04,0.26,1.32
私立,臺東縣,417 ,3 ,5 ,10 ,5 ,1 ,0 ,1 ,0.72,1.20,2.40,1.20,0.24,0.00 ,0.24
私立,花蓮縣,1290 ,5 ,37 ,17 ,15 ,5 ,8 ,30 ,0.39,2.87,1.32,1.16,0.39,0.62,2.33
私立,澎湖縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,基隆市,1796 ,4 ,42 ,7 ,13 ,0 ,0 ,4 ,0.22,2.34,0.39,0.72,0.00 ,0.00 ,0.22
私立,新竹市,2808 ,9 ,30 ,35 ,11 ,3 ,3 ,0 ,0.32,1.07,1.25,0.39,0.11,0.11,0.00 
