"學年度","設立別","學程別","群科別","畢業生人數","正在接受職業訓練人數","正在軍中服役人數","需要工作而未找到人數","補習或準備升學人數","健康不良在家休養人數","準備出國人數","其他人數","正在接受職業訓練比率","正在軍中服役比率","需要工作而未找到比率","補習或準備升學比率","健康不良在家休養比率","準備出國比率","其他比率"
109,國立,普通科,學術群,23214,8,56,11,299,3,4,45,0.0344619626087706,0.241233738261394,0.0473851985870595,1.2880158525028,0.012923235978289,0.0172309813043853,0.193848539674334
109,國立,專業群科,機械群,2983,5,43,23,21,10,0,7,0.167616493462957,1.44150184378143,0.771035869929601,0.703989272544418,0.335232986925914,0,0.234663090848139
109,國立,專業群科,動力機械群,908,0,23,7,6,5,0,9,0,2.53303964757709,0.770925110132159,0.66079295154185,0.550660792951542,0,0.991189427312775
109,國立,專業群科,電機與電子群,3429,7,59,29,21,1,0,9,0.204141149023039,1.72061825605133,0.845727617381161,0.612423447069116,0.0291630212890055,0,0.26246719160105
109,國立,專業群科,化工群,712,1,3,3,0,1,0,0,0.140449438202247,0.421348314606742,0.421348314606742,0,0.140449438202247,0,0
109,國立,專業群科,土木與建築群,819,4,7,11,3,0,1,0,0.488400488400488,0.854700854700855,1.34310134310134,0.366300366300366,0,0.122100122100122,0
109,國立,專業群科,商業與管理群,4972,10,27,32,24,2,0,11,0.201126307320998,0.543041029766693,0.643604183427192,0.482703137570394,0.0402252614641995,0,0.221238938053097
109,國立,專業群科,外語群,850,1,0,2,5,0,0,0,0.117647058823529,0,0.235294117647059,0.588235294117647,0,0,0
109,國立,專業群科,設計群,1083,2,3,7,5,1,1,2,0.184672206832872,0.277008310249308,0.646352723915051,0.461680517082179,0.0923361034164358,0.0923361034164358,0.184672206832872
109,國立,專業群科,農業群,1175,2,12,19,3,6,0,3,0.170212765957447,1.02127659574468,1.61702127659574,0.25531914893617,0.51063829787234,0,0.25531914893617
109,國立,專業群科,食品群,952,1,4,24,1,6,1,8,0.105042016806723,0.420168067226891,2.52100840336134,0.105042016806723,0.630252100840336,0.105042016806723,0.840336134453782
109,國立,專業群科,家政群,906,5,0,9,1,1,1,4,0.551876379690949,0,0.993377483443709,0.11037527593819,0.11037527593819,0.11037527593819,0.441501103752759
109,國立,專業群科,餐旅群,1093,1,6,14,5,2,1,7,0.0914913083257091,0.548947849954254,1.28087831655993,0.457456541628545,0.182982616651418,0.0914913083257091,0.640439158279963
109,國立,專業群科,水產群,149,1,7,3,1,1,0,9,0.671140939597315,4.69798657718121,2.01342281879195,0.671140939597315,0.671140939597315,0,6.04026845637584
109,國立,專業群科,海事群,249,1,10,8,1,0,0,3,0.401606425702811,4.01606425702811,3.21285140562249,0.401606425702811,0,0,1.20481927710843
109,國立,專業群科,藝術群,131,4,5,0,2,0,0,1,3.05343511450382,3.81679389312977,0,1.52671755725191,0,0,0.763358778625954
109,國立,專業群科,綜合,567,32,6,91,1,5,1,7,5.64373897707231,1.05820105820106,16.0493827160494,0.17636684303351,0.881834215167548,0.17636684303351,1.23456790123457
109,國立,綜合高中,學術群,2912,2,10,3,25,0,1,5,0.0686813186813187,0.343406593406593,0.103021978021978,0.858516483516484,0,0.0343406593406593,0.171703296703297
109,國立,綜合高中,機械群,93,0,0,0,1,0,0,0,0,0,0,1.0752688172043,0,0,0
109,國立,綜合高中,動力機械群,8,0,1,0,0,0,0,0,0,12.5,0,0,0,0,0
109,國立,綜合高中,電機與電子群,107,0,0,1,0,0,0,0,0,0,0.934579439252336,0,0,0,0
109,國立,綜合高中,化工群,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,國立,綜合高中,土木與建築群,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,國立,綜合高中,商業與管理群,356,0,1,0,0,0,0,4,0,0.280898876404494,0,0,0,0,1.12359550561798
109,國立,綜合高中,外語群,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,國立,綜合高中,設計群,38,0,0,1,0,0,0,0,0,0,2.63157894736842,0,0,0,0
109,國立,綜合高中,農業群,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,國立,綜合高中,食品群,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,國立,綜合高中,家政群,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,國立,綜合高中,餐旅群,210,0,3,1,1,0,0,0,0,1.42857142857143,0.476190476190476,0.476190476190476,0,0,0
109,國立,綜合高中,水產群,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,國立,綜合高中,綜合,91,0,1,0,0,0,0,0,0,1.0989010989011,0,0,0,0,0
109,國立,實用技能學程,機械群,273,1,8,6,2,0,0,2,0.366300366300366,2.93040293040293,2.1978021978022,0.732600732600733,0,0,0.732600732600733
109,國立,實用技能學程,動力機械群,50,0,1,5,0,1,0,0,0,2,10,0,2,0,0
109,國立,實用技能學程,電機與電子群,287,0,12,8,2,0,0,1,0,4.18118466898955,2.78745644599303,0.696864111498258,0,0,0.348432055749129
109,國立,實用技能學程,土木與建築群,109,0,4,3,0,0,0,0,0,3.6697247706422,2.75229357798165,0,0,0,0
109,國立,實用技能學程,商業與管理群,262,3,6,7,1,1,0,3,1.14503816793893,2.29007633587786,2.67175572519084,0.381679389312977,0.381679389312977,0,1.14503816793893
109,國立,實用技能學程,設計群,119,0,4,4,0,0,0,0,0,3.36134453781513,3.36134453781513,0,0,0,0
109,國立,實用技能學程,農業群,115,1,2,5,0,0,0,0,0.869565217391304,1.73913043478261,4.34782608695652,0,0,0,0
109,國立,實用技能學程,食品群,191,0,2,12,0,1,0,0,0,1.04712041884817,6.282722513089,0,0.523560209424084,0,0
109,國立,實用技能學程,餐旅群,333,1,4,10,1,2,0,1,0.3003003003003,1.2012012012012,3.003003003003,0.3003003003003,0.600600600600601,0,0.3003003003003
109,國立,實用技能學程,水產群,15,0,0,4,0,0,0,0,0,0,26.6666666666667,0,0,0,0
109,國立,實用技能學程,海事群,12,0,0,2,1,0,0,0,0,0,16.6666666666667,8.33333333333333,0,0,0
109,國立,實用技能學程,美容造型群,133,0,1,2,0,0,0,0,0,0.75187969924812,1.50375939849624,0,0,0,0
109,國立,進修部,學術群,87,0,2,1,0,0,0,14,0,2.29885057471264,1.14942528735632,0,0,0,16.0919540229885
109,國立,進修部,機械群,218,2,10,2,0,0,0,2,0.917431192660551,4.58715596330275,0.917431192660551,0,0,0,0.917431192660551
