"學年度","設立別","學校所在地別","畢業生人數","正在接受職業訓練人數","正在軍中服役人數","需要工作而未找到人數","補習或準備升學人數","健康不良在家休養人數","準備出國人數","其他人數","正在接受職業訓練比率","正在軍中服役比率","需要工作而未找到比率","補習或準備升學比率","健康不良在家休養比率","準備出國比率","其他比率"
109,國立,新北市,422,0,0,0,1,0,0,0,0,0,0,0.23696682464455,0,0,0
109,國立,臺北市,1232,4,5,0,19,0,0,1,0.324675324675325,0.405844155844156,0,1.54220779220779,0,0,0.0811688311688312
109,國立,桃園市,1400,3,13,3,10,0,0,2,0.214285714285714,0.928571428571429,0.214285714285714,0.714285714285714,0,0,0.142857142857143
109,國立,臺中市,1365,3,6,21,9,1,0,1,0.21978021978022,0.43956043956044,1.53846153846154,0.659340659340659,0.0732600732600733,0,0.0732600732600733
109,國立,臺南市,8567,16,80,81,88,28,1,22,0.186763160966499,0.933815804832497,0.945488502392903,1.02719738531575,0.326835531691374,0.0116726975604062,0.256799346328937
109,國立,高雄市,3831,6,34,11,53,2,2,6,0.156617071260767,0.887496737144349,0.287131297311407,1.38345079613678,0.0522056904202558,0.0522056904202558,0.156617071260767
109,國立,宜蘭縣,3063,4,27,26,18,7,0,29,0.130590923930787,0.881488736532811,0.848841005550114,0.587659157688541,0.228534116878877,0,0.946784198498204
109,國立,新竹縣,1418,2,1,7,2,0,0,15,0.141043723554302,0.0705218617771509,0.493653032440056,0.141043723554302,0,0,1.05782792665726
109,國立,苗栗縣,2502,0,6,14,13,2,0,4,0,0.239808153477218,0.559552358113509,0.519584332533973,0.0799360511590727,0,0.159872102318145
109,國立,彰化縣,7608,18,55,54,40,4,1,14,0.236593059936909,0.722923238696109,0.709779179810726,0.525762355415352,0.0525762355415352,0.0131440588853838,0.184016824395373
109,國立,南投縣,2679,5,32,27,20,1,0,12,0.186636804777902,1.19447555057857,1.00783874580067,0.746547219111609,0.0373273609555804,0,0.447928331466965
109,國立,雲林縣,2930,8,30,27,22,5,0,7,0.273037542662116,1.02389078498294,0.921501706484642,0.750853242320819,0.170648464163823,0,0.238907849829352
109,國立,嘉義縣,819,2,4,13,10,0,0,8,0.244200244200244,0.488400488400488,1.58730158730159,1.22100122100122,0,0,0.976800976800977
109,國立,屏東縣,3244,9,27,48,40,2,2,11,0.277435265104809,0.832305795314427,1.47965474722565,1.23304562268804,0.061652281134402,0.061652281134402,0.339087546239211
109,國立,臺東縣,1186,1,11,1,10,0,0,3,0.0843170320404722,0.927487352445194,0.0843170320404722,0.843170320404722,0,0,0.252951096121417
109,國立,花蓮縣,1561,2,10,22,12,4,0,4,0.128122998078155,0.640614990390775,1.40935297885971,0.76873798846893,0.25624599615631,0,0.25624599615631
109,國立,澎湖縣,651,5,6,12,6,4,1,6,0.768049155145929,0.921658986175115,1.84331797235023,0.921658986175115,0.614439324116744,0.153609831029186,0.921658986175115
109,國立,基隆市,1162,5,5,10,2,1,1,5,0.430292598967298,0.430292598967298,0.860585197934595,0.172117039586919,0.0860585197934596,0.0860585197934596,0.430292598967298
109,國立,新竹市,2555,2,0,4,27,0,1,3,0.0782778864970646,0,0.156555772994129,1.05675146771037,0,0.0391389432485323,0.117416829745597
109,國立,嘉義市,3327,7,12,28,42,1,2,20,0.210399759543132,0.36068530207394,0.841599038172528,1.26239855725879,0.0300571085061617,0.0601142170123234,0.601142170123234
109,國立,金門縣,474,1,19,2,2,0,0,16,0.210970464135021,4.0084388185654,0.421940928270042,0.421940928270042,0,0,3.37552742616034
109,國立,連江縣,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,新北市,11774,15,46,43,137,29,4,140,0.127399354509937,0.390691353830474,0.365211482928486,1.16358077119076,0.246305418719212,0.0339731612026499,1.18906064209275
109,縣市立,臺北市,17831,8,22,30,147,7,8,9,0.0448656833604397,0.123380629241209,0.168246312601649,0.824406931748079,0.0392574729403847,0.0448656833604397,0.0504738937804946
109,縣市立,桃園市,7512,5,7,22,61,2,3,17,0.0665601703940362,0.0931842385516507,0.292864749733759,0.812034078807242,0.0266240681576145,0.0399361022364217,0.226304579339723
109,縣市立,臺中市,11614,23,54,54,118,12,2,11,0.198036852075082,0.464956087480627,0.464956087480627,1.01601515412433,0.103323574995695,0.0172205958326158,0.0947132770793869
109,縣市立,臺南市,534,1,0,0,5,1,0,0,0.187265917602996,0,0,0.936329588014981,0.187265917602996,0,0
109,縣市立,高雄市,9460,22,22,20,172,1,2,15,0.232558139534884,0.232558139534884,0.211416490486258,1.81818181818182,0.0105708245243129,0.0211416490486258,0.158562367864693
109,縣市立,宜蘭縣,75,0,0,1,4,0,0,0,0,0,1.33333333333333,5.33333333333333,0,0,0
109,縣市立,新竹縣,444,0,5,0,11,0,0,0,0,1.12612612612613,0,2.47747747747748,0,0,0
109,縣市立,苗栗縣,544,0,2,1,0,0,0,2,0,0.367647058823529,0.183823529411765,0,0,0,0.367647058823529
109,縣市立,彰化縣,796,0,8,0,2,1,0,0,0,1.00502512562814,0,0.251256281407035,0.125628140703518,0,0
109,縣市立,南投縣,223,0,0,0,3,0,0,0,0,0,0,1.34529147982063,0,0,0
109,縣市立,雲林縣,382,0,11,0,3,1,0,0,0,2.87958115183246,0,0.785340314136126,0.261780104712042,0,0
109,縣市立,嘉義縣,296,0,7,3,4,0,0,0,0,2.36486486486486,1.01351351351351,1.35135135135135,0,0,0
109,縣市立,屏東縣,585,0,0,3,3,0,0,0,0,0,0.512820512820513,0.512820512820513,0,0,0
109,縣市立,臺東縣,22,0,0,4,0,0,0,0,0,0,18.1818181818182,0,0,0,0
109,縣市立,花蓮縣,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,基隆市,291,0,1,6,3,0,1,0,0,0.343642611683849,2.06185567010309,1.03092783505155,0,0.343642611683849,0
